Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
         2474516 function calls (2417946 primitive calls) in 42.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 _minimize.py:8(<module>)
       16    0.000    0.000    0.012    0.001 _distn_infrastructure.py:2916(__init__)
     1578    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:147(__enter__)
      117    0.001    0.000    0.011    0.000 _distn_infrastructure.py:605(__init__)
        1    0.000    0.000    0.011    0.011 loader.py:2(<module>)
        1    0.000    0.000    0.011    0.011 blocking_input.py:20(<module>)
        1    0.000    0.000    0.011    0.011 core.py:12(<module>)
     1241    0.001    0.000    0.011    0.000 __init__.py:655(__setitem__)
      101    0.001    0.000    0.011    0.000 _distn_infrastructure.py:1715(_attach_methods)
        1    0.000    0.000    0.011    0.011 core.py:164(load_base_library)
        1    0.000    0.000    0.011    0.011 core.py:196(read_style_directory)
     5024    0.006    0.000    0.010    0.000 inspect.py:2467(__init__)
        1    0.005    0.005    0.010    0.010 {built-in method torch._C._initExtension}
        1    0.000    0.000    0.010    0.010 backend_bases.py:26(<module>)
      117    0.000    0.000    0.010    0.000 _distn_infrastructure.py:671(_attach_argparser_methods)
        1    0.000    0.000    0.010    0.010 _internal.py:6(<module>)
     1433    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1218    0.003    0.000    0.010    0.000 {method 'any' of 'numpy.generic' objects}
     3690    0.010    0.000    0.010    0.000 {boxPoints}
       24    0.000    0.000    0.010    0.000 utils.py:1059(_bind_operator)
     2460    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(iscomplexobj)
       26    0.000    0.000    0.010    0.000 __init__.py:868(rc_params_from_file)
        1    0.000    0.000    0.010    0.010 _axes.py:71(Axes)
        1    0.000    0.000    0.010    0.010 optimize.py:20(<module>)
       37    0.000    0.000    0.010    0.000 delayed.py:589(_get_binary_operator)
       37    0.000    0.000    0.010    0.000 delayed.py:220(delayed)
        1    0.000    0.000    0.010    0.010 axes3d.py:11(<module>)
        1    0.000    0.000    0.010    0.010 multiarray.py:7(<module>)
     3300    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2168    0.001    0.000    0.010    0.000 tokenize.py:147(_compile)
     1198    0.009    0.000    0.009    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
       37    0.000    0.000    0.009    0.000 delayed.py:198(tokenize)
       37    0.000    0.000    0.009    0.000 base.py:779(tokenize)
     1972    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.001    0.001    0.009    0.009 __init__.py:58(<module>)
     2142    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1845    0.003    0.000    0.009    0.000 _ni_support.py:57(_normalize_sequence)
        1    0.000    0.000    0.009    0.009 auto.py:14(<module>)
        3    0.000    0.000    0.009    0.003 __init__.py:6(<module>)
       74    0.000    0.000    0.009    0.000 utils.py:508(__call__)
        1    0.000    0.000    0.009    0.009 platform.py:10(<module>)
       37    0.000    0.000    0.009    0.000 base.py:835(normalize_object)
      111    0.004    0.000    0.009    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.009    0.009 ridges.py:9(<module>)
       37    0.000    0.000    0.009    0.000 base.py:847(normalize_function)
       37    0.000    0.000    0.009    0.000 base.py:863(_normalize_function)
     2160    0.006    0.000    0.009    0.000 inspect.py:2750(__init__)
        1    0.000    0.000    0.009    0.009 asyncio.py:9(<module>)
        1    0.000    0.000    0.009    0.009 _sketches.py:1(<module>)
     5517    0.003    0.000    0.008    0.000 enum.py:289(__call__)
        1    0.000    0.000    0.008    0.008 _numdiff.py:1(<module>)
        2    0.000    0.000    0.008    0.004 _signatures.py:659(create_signature_registry)
        1    0.000    0.000    0.008    0.008 lines.py:4(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:219(<module>)
        1    0.000    0.000    0.008    0.008 minimize_trustregion_constr.py:1(<module>)
       13    0.000    0.000    0.008    0.001 cloudpickle_fast.py:90(dumps)
        1    0.000    0.000    0.008    0.008 overrides.py:1(<module>)
     6215    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
       13    0.000    0.000    0.008    0.001 cloudpickle_fast.py:561(dump)
       13    0.000    0.000    0.008    0.001 pickle.py:426(dump)
  1053/13    0.002    0.000    0.008    0.001 pickle.py:485(save)
    12030    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    65/13    0.000    0.000    0.008    0.001 cloudpickle_fast.py:733(save_function)
      471    0.007    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.008    0.008 Image.py:27(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:109(<module>)
     8368    0.008    0.000    0.008    0.000 {method 'splitlines' of 'str' objects}
        3    0.000    0.000    0.008    0.003 __init__.py:15(<module>)
        1    0.000    0.000    0.008    0.008 pyparsing.py:6398(pyparsing_common)
     1230    0.005    0.000    0.008    0.000 morphology.py:48(_center_is_true)
     1722    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       13    0.000    0.000    0.008    0.001 cloudpickle_fast.py:676(_save_reduce_pickle5)
      580    0.000    0.000    0.008    0.000 _signatures.py:665(<genexpr>)
      310    0.000    0.000    0.008    0.000 _signatures.py:622(expand_sig)
      593    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(argsort)
26687/26683    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.007    0.007 _base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:39(<module>)
    11011    0.007    0.000    0.007    0.000 {method 'expandtabs' of 'str' objects}
      615    0.001    0.000    0.007    0.000 PngImagePlugin.py:879(load_prepare)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
        1    0.000    0.000    0.007    0.007 textpath.py:1(<module>)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
        1    0.000    0.000    0.007    0.007 cm.py:16(<module>)
     2460    0.007    0.000    0.007    0.000 {built-in method binascii.a2b_base64}
        1    0.000    0.000    0.007    0.007 __init__.py:124(<module>)
        1    0.000    0.000    0.007    0.007 windows.py:1(<module>)
        3    0.000    0.000    0.007    0.002 _solve.py:1(<module>)
       70    0.001    0.000    0.007    0.000 __init__.py:1373(_preprocess_data)
      615    0.007    0.000    0.007    0.000 {method 'encode' of 'ImagingEncoder' objects}
   208/39    0.000    0.000    0.007    0.000 pickle.py:761(save_tuple)
     1362    0.003    0.000    0.007    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.007    0.007 widgets.py:10(<module>)
     1218    0.001    0.000    0.007    0.000 _methods.py:53(_any)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
     1433    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.006    0.006 _constraints.py:1(<module>)
      229    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
      615    0.002    0.000    0.006    0.000 PngImagePlugin.py:921(load_end)
        3    0.000    0.000    0.006    0.002 misc.py:1(<module>)
     1218    0.002    0.000    0.006    0.000 <__array_function__ internals>:2(result_type)
    57024    0.006    0.000    0.006    0.000 fromnumeric.py:3164(_around_dispatcher)
    18471    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.006    0.006 patches.py:1(<module>)
        1    0.006    0.006    0.006    0.006 {built-in method mkl._py_mkl_service.get_version}
        1    0.000    0.000    0.006    0.006 __init__.py:89(<module>)
       16    0.000    0.000    0.006    0.000 _distn_infrastructure.py:2979(_construct_docstrings)
    39/37    0.000    0.000    0.006    0.000 functoolz.py:880(has_keywords)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
        2    0.000    0.000    0.006    0.003 conv.py:2(<module>)
     2812    0.002    0.000    0.006    0.000 {built-in method builtins.any}
      615    0.001    0.000    0.006    0.000 ImageFile.py:288(load_prepare)
        1    0.000    0.000    0.006    0.006 cm.py:53(_gen_cmap_registry)
      593    0.001    0.000    0.006    0.000 fromnumeric.py:999(argsort)
      310    0.000    0.000    0.006    0.000 _signatures.py:615(signature_or_spec)
       27    0.000    0.000    0.006    0.000 pyparsing.py:3294(__init__)
   104/26    0.000    0.000    0.006    0.000 pickle.py:567(save_reduce)
        3    0.000    0.000    0.006    0.002 platform.py:1061(system)
        3    0.000    0.000    0.006    0.002 platform.py:923(uname)
     9576    0.006    0.000    0.006    0.000 fromnumeric.py:71(<dictcomp>)
        1    0.000    0.000    0.006    0.006 platform.py:780(_syscmd_uname)
     2481    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 axis.py:3(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
     3300    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.005    0.005 base_events.py:14(<module>)
        1    0.000    0.000    0.005    0.005 threaded.py:5(<module>)
     1445    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.005    0.005 __init__.py:164(<module>)
     2440    0.001    0.000    0.005    0.000 _asarray.py:86(asanyarray)
        1    0.000    0.000    0.005    0.005 thresholding.py:1(<module>)
      615    0.001    0.000    0.005    0.000 PngImagePlugin.py:189(crc)
        4    0.000    0.000    0.005    0.001 base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 reader.py:18(<module>)
        1    0.000    0.000    0.005    0.005 mathtext.py:16(<module>)
        1    0.000    0.000    0.005    0.005 py3k.py:12(<module>)
        1    0.000    0.000    0.005    0.005 reader.py:45(Reader)
        1    0.000    0.000    0.005    0.005 subprocess.py:42(<module>)
        1    0.000    0.000    0.005    0.005 parser.py:5(<module>)
        3    0.000    0.000    0.005    0.002 __init__.py:9(<module>)
      700    0.001    0.000    0.005    0.000 colors.py:161(to_rgba)
        1    0.000    0.000    0.005    0.005 os.py:980(popen)
        1    0.000    0.000    0.005    0.005 category.py:11(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:45(<module>)
      615    0.003    0.000    0.005    0.000 Image.py:419(_getdecoder)
      127    0.001    0.000    0.005    0.000 inspect.py:1089(getfullargspec)
     3690    0.002    0.000    0.005    0.000 _binary.py:74(i32be)
        1    0.000    0.000    0.005    0.005 subprocess.py:681(__init__)
     1198    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
